Country Code,Region,IncomeGroup,Country Name,2020,2021,2022,2023
ISR,Middle East & North Africa,High income,Israel,9215100.0,9371400.0,9557500.0,9756700.0
ITA,Europe & Central Asia,High income,Italy,59438851.0,59133173.0,58940425.0,58761146.0
JAM,Latin America & Caribbean,Upper middle income,Jamaica,2820436.0,2827695.0,2827377.0,2825544.0
JOR,Middle East & North Africa,Lower middle income,Jordan,10928721.0,11148278.0,11285869.0,11337052.0
JPN,East Asia & Pacific,High income,Japan,126261000.0,125681593.0,125124989.0,124516650.0
KAZ,Europe & Central Asia,Upper middle income,Kazakhstan,18755666.0,19191356.0,19634983.0,19900177.0
KEN,Sub-Saharan Africa,Lower middle income,Kenya,51985780.0,53005614.0,54027487.0,55100586.0
KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic,6579900.0,6773400.0,6974900.0,7100800.0
KHM,East Asia & Pacific,Lower middle income,Cambodia,16396860.0,16589023.0,16767842.0,16944826.0
KIR,East Asia & Pacific,Lower middle income,Kiribati,126463.0,128874.0,131232.0,133515.0
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis,47642.0,47606.0,47657.0,47755.0
KOR,East Asia & Pacific,High income,"Korea, Rep.",51836239.0,51769539.0,51672569.0,51712619.0
KWT,Middle East & North Africa,High income,Kuwait,4360444.0,4250114.0,4268873.0,4310108.0
LAC,Unknown,Unknown,Latin America & Caribbean (excluding high income),588011178.0,592503434.0,596596955.0,600825676.0
LAO,East Asia & Pacific,Lower middle income,Lao PDR,7319399.0,7425057.0,7529475.0,7633779.0
LBN,Middle East & North Africa,Lower middle income,Lebanon,5662923.0,5592631.0,5489739.0,5353930.0
LBR,Sub-Saharan Africa,Low income,Liberia,5087584.0,5193416.0,5302681.0,5418377.0
LBY,Middle East & North Africa,Upper middle income,Libya,6653942.0,6735277.0,6812341.0,6888388.0
LCA,Latin America & Caribbean,Upper middle income,St. Lucia,179237.0,179651.0,179857.0,180251.0
LCN,Unknown,Unknown,Latin America & Caribbean,650533026.0,654978670.0,659306928.0,664155299.0
LDC,Unknown,Unknown,Least developed countries: UN classification,1072970944.0,1098791080.0,1124396999.0,1150346774.0
LIC,Unknown,Unknown,Low income,667053670.0,685250041.0,703727949.0,722984063.0
LIE,Europe & Central Asia,High income,Liechtenstein,38756.0,39039.0,39327.0,39584.0
LKA,South Asia,Lower middle income,Sri Lanka,21919000.0,22156000.0,22181000.0,22037000.0
LMC,Unknown,Unknown,Lower middle income,2943860780.0,2983113040.0,3020375650.0,3059564861.0
LMY,Unknown,Unknown,Low & middle income,6398830423.0,6467799496.0,6527353351.0,6593137026.0
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,2254100.0,2281454.0,2305825.0,2330318.0
LTE,Unknown,Unknown,Late-demographic dividend,2318233156.0,2323185156.0,2325328254.0,2326833223.0
LTU,Europe & Central Asia,High income,Lithuania,2794885.0,2800839.0,2831639.0,2871897.0
LUX,Europe & Central Asia,High income,Luxembourg,630419.0,640064.0,653103.0,668606.0
LVA,Europe & Central Asia,High income,Latvia,1900449.0,1884490.0,1879383.0,1881750.0
MAC,East Asia & Pacific,High income,"Macao SAR, China",676283.0,686607.0,695168.0,704149.0
MAF,Latin America & Caribbean,High income,St. Martin (French part),32553.0,31948.0,31791.0,32077.0
MAR,Middle East & North Africa,Lower middle income,Morocco,36688772.0,37076584.0,37457971.0,37840044.0
MCO,Europe & Central Asia,High income,Monaco,36922.0,36686.0,36469.0,36297.0
MDA,Europe & Central Asia,Upper middle income,Moldova,2635130.0,2595809.0,2538894.0,2486891.0
MDG,Sub-Saharan Africa,Low income,Madagascar,28225177.0,28915653.0,29611714.0,30325732.0
MDV,South Asia,Upper middle income,Maldives,514438.0,521457.0,523787.0,521021.0
MEA,Unknown,Unknown,Middle East & North Africa,479966649.0,486174763.0,493279469.0,500787313.0
MEX,Latin America & Caribbean,Upper middle income,Mexico,125998302.0,126705138.0,127504125.0,128455567.0
MHL,East Asia & Pacific,Upper middle income,Marshall Islands,43413.0,42050.0,41569.0,41996.0
MIC,Unknown,Unknown,Middle income,5731776753.0,5782549455.0,5823625402.0,5870152963.0
MKD,Europe & Central Asia,Upper middle income,North Macedonia,1856124.0,1837114.0,1831712.0,1811980.0
MLI,Sub-Saharan Africa,Low income,Mali,21224040.0,21904983.0,22593590.0,23293698.0
MLT,Middle East & North Africa,High income,Malta,515332.0,518536.0,531113.0,553214.0
MMR,East Asia & Pacific,Lower middle income,Myanmar,53423198.0,53798084.0,54179306.0,54577997.0
MNA,Unknown,Unknown,Middle East & North Africa (excluding high income),411810124.0,418047201.0,424328381.0,430857111.0
MNE,Europe & Central Asia,Upper middle income,Montenegro,621306.0,619211.0,617213.0,616177.0
MNG,East Asia & Pacific,Upper middle income,Mongolia,3294335.0,3347782.0,3398366.0,3447157.0
MNP,East Asia & Pacific,High income,Northern Mariana Islands,49587.0,49481.0,49551.0,49796.0
MOZ,Sub-Saharan Africa,Low income,Mozambique,31178239.0,32077072.0,32969518.0,33897354.0
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,4498604.0,4614974.0,4736139.0,4862989.0
MUS,Sub-Saharan Africa,Upper middle income,Mauritius,1266014.0,1266334.0,1262523.0,1261041.0
MWI,Sub-Saharan Africa,Low income,Malawi,19377061.0,19889742.0,20405317.0,20931751.0
MYS,East Asia & Pacific,Upper middle income,Malaysia,33199993.0,33573874.0,33938221.0,34308525.0
NAC,Unknown,Unknown,North America,369619464.0,370352605.0,372274062.0,375076145.0
NAM,Sub-Saharan Africa,Upper middle income,Namibia,2489098.0,2530151.0,2567012.0,2604172.0
NCL,East Asia & Pacific,High income,New Caledonia,271080.0,270390.0,269215.0,267940.0
NER,Sub-Saharan Africa,Low income,Niger,24333639.0,25252722.0,26207977.0,27202843.0
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,208327405.0,213401323.0,218541212.0,223804632.0
NIC,Latin America & Caribbean,Lower middle income,Nicaragua,6755895.0,6850540.0,6948392.0,7046310.0
NLD,Europe & Central Asia,High income,Netherlands,17441500.0,17533044.0,17700982.0,17879488.0
NOR,Europe & Central Asia,High income,Norway,5379475.0,5408320.0,5457127.0,5519594.0
NPL,South Asia,Lower middle income,Nepal,29348627.0,30034989.0,30547580.0,30896590.0
NRU,East Asia & Pacific,High income,Nauru,12315.0,12511.0,12668.0,12780.0
NZL,East Asia & Pacific,High income,New Zealand,5090200.0,5111300.0,5117200.0,5223100.0
OED,Unknown,Unknown,OECD members,1369502262.0,1371972508.0,1377465841.0,1385005653.0
OMN,Middle East & North Africa,High income,Oman,4543399.0,4520471.0,4576298.0,4644384.0
OSS,Unknown,Unknown,Other small states,13853034.0,13943732.0,14095313.0,14240737.0
PAK,South Asia,Lower middle income,Pakistan,227196741.0,231402117.0,235824862.0,240485658.0
PAN,Latin America & Caribbean,High income,Panama,4294396.0,4351267.0,4408581.0,4468087.0
PER,Latin America & Caribbean,Upper middle income,Peru,33304756.0,33715471.0,34049588.0,34352719.0
PHL,East Asia & Pacific,Lower middle income,Philippines,112190977.0,113880328.0,115559009.0,117337368.0
PLW,East Asia & Pacific,High income,Palau,17972.0,18024.0,18055.0,18058.0
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,9749640.0,9949437.0,10142619.0,10329931.0
POL,Europe & Central Asia,High income,Poland,37899070.0,37747124.0,36821749.0,36685849.0
PRE,Unknown,Unknown,Pre-demographic dividend,984213438.0,1011043183.0,1038012552.0,1065710613.0
PRI,Latin America & Caribbean,High income,Puerto Rico,3281557.0,3262693.0,3220113.0,3205691.0
PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",25867467.0,25971909.0,26069416.0,26160821.0
PRT,Europe & Central Asia,High income,Portugal,10297081.0,10361831.0,10409704.0,10525347.0
PRY,Latin America & Caribbean,Upper middle income,Paraguay,6618695.0,6703799.0,6780744.0,6861524.0
PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza,4803269.0,4922749.0,5043612.0,5165775.0
PSS,Unknown,Unknown,Pacific island small states,2566819.0,2602173.0,2639019.0,2677728.0
PST,Unknown,Unknown,Post-demographic dividend,1117530670.0,1116651310.0,1114354147.0,1119478514.0
PYF,East Asia & Pacific,High income,French Polynesia,301920.0,304032.0,306279.0,308872.0
QAT,Middle East & North Africa,High income,Qatar,2760385.0,2688235.0,2695122.0,2716391.0
ROU,Europe & Central Asia,High income,Romania,19265250.0,19122059.0,19047009.0,19056116.0
RUS,Europe & Central Asia,High income,Russian Federation,145245148.0,144746762.0,144236933.0,143826130.0
RWA,Sub-Saharan Africa,Low income,Rwanda,13146362.0,13461888.0,13776698.0,14094683.0
SAS,Unknown,Unknown,South Asia,1882531620.0,1901911604.0,1919348000.0,1938549529.0
SAU,Middle East & North Africa,High income,Saudi Arabia,35997107.0,35950396.0,36408820.0,36947025.0
SDN,Sub-Saharan Africa,Low income,Sudan,44440486.0,45657202.0,46874204.0,48109006.0
